"3-D MAN/CHARLES CHAN";"3-D MAN"
"NITRO/ROBERT L. HUNT";NITRO
NIVENA,JOANNA;NITRO
NIXON,RICHARD;NITRO
NOCTURNE/;NOCTURNE
NORTH,DAKOTA;"DAKOTA NORTH"
"NORTHSTAR/JEAN-PAUL ";NORTHSTAR
"NOVA/RICHARD RIDER";NOVA
NUKE;NUKE
OGUN;OGUN
"OMEGA RED/ARKADY ROS";"OMEGA RED"
ONSLAUGHT;ONSLAUGHT
"ORACLE/LADY SIBYL";ORACLE
ORPHAN;ORPHAN
ORPHAN-MAKER/PETER;ORPHAN-MAKER
OSBORN,HARRY;"HARRY OSBORN"
OSBORN,NORMAN;"NORMAN OSBORN"
"OWL/LELAND OWLSLEY";OWL
OZYMANDIAS;OZYMANDIAS
PAGE,KAREN;"KAREN PAGE"
"PALADIN/PAUL DENNIS";PALADIN
"PALERMO,HARRIET ROS";PALADIN
PALERMO,VICTOR;PALADIN
PALMIOTTI,JIMMY;PALADIN
PARKER,BEN;"BEN PARKER"
PARKER,MAY;"MAY PARKER"
"PATRIOT/JEFF MACE";PATRIOT
PATTERSON,JACK;PATRIOT
PATTON,JESS;PATRIOT
PAYBACK/;PAYBACK
PAYGE,REEVA;PAYBACK
PAYNE,EDWARD;PAYBACK
PAYNE,MICHAEL;PAYBACK
"PESTILENCE/CAPT. F.R";PESTILENCE
PILEDRIVER;PILEDRIVER
"PIP/PRINCE GOFERN";PIP
"PIXIE/ [ETERNAL]";PIXIE
PLAZM;PLAZM
"POLARIS/LORNA DANE";POLARIS
"POWER PRINCESS/ZARDA";ZARDA
"PRETTY BOY";"PRETTY BOY"
PRISM;PRISM
PRODIGY/;PRODIGY
"PROFESSOR X/CHARLES ";"PROFESSOR X"
"PROWLER/HOBIE BROWN";PROWLER
PRYDE,CARMEN;PROWLER
PRYDE,TERRI;PROWLER
PSYCHO-MAN;PSYCHO-MAN
"PSYLOCKE/ELISABETH B";PSYLOCKE
PSYNAPSE;PSYNAPSE
"PUCK/EUGENE MILTON J";PUCK
"PUFF ADDER";"PUFF ADDER"
"PUMA/THOMAS FIREHEAR";PUMA
PUNISHER;PUNISHER
"PUNISHER/FRANK CASTL";PUNISHER
"PUPPET MASTER/PHILLI";"PUPPET MASTER"
"PURPLE MAN/ZEBEDIAH ";"PURPLE MAN"
"PYRO/ALLERDYCE JOHNN";PYRO
QUASIMODO;QUASIMODO
"QUICKSILVER/PIETRO M";QUICKSILVER
"RADIOACTIVE MAN/DR. ";"RADIOACTIVE MAN"
"RAGE/ELVIN DARYL HAL";RAGE
RAM,SIR;"SIR RAM"
RANDOM;RANDOM
RASPUTIN,MIKHAIL;"MIKHAIL RASPUTIN"
RATTLER;RATTLER
"RAWHIDE KID";"RAWHIDE KID"
REAPER;REAPER
"RED GHOST/IVAN KRAGO";"RED GHOST"
"RED SHIFT";"RED SHIFT"
"RED SKULL/JOHANN SCH";"RED SKULL"
"RED WOLF/WILDRUN";"RED WOLF"
REDWING;REDWING
RHINO;RHINO
"RICOCHET/SEN. STEVEN";RICOCHET
"RICTOR/JULIO ESTEBAN";RICTOR
"RIDDLEY,HIRAM RAM";RICTOR
RIDER,CHARLES;RICTOR
RIDER,GLORIA;RICTOR
"RIDER,ROBERT ROBBIE";RICTOR
"RIDGE,CHRISTINA DEV";RICTOR
RIDGEWAY,DAWN;RICTOR
RIESER,ROB;RICTOR
RIFKIN,BIFF;RICTOR
RIFKIN,MARJORIE;RICTOR
RIPTIDE;RIPTIDE
RISQUE/GLORIA;RISQUE
"RITTER,DEBORAH ";RISQUE
RITTER,DONALD;RISQUE
"RIVERA,DR. JASON";RISQUE
RIVERA,MS.;RISQUE
RIVERS,JERRY;RISQUE
ROBERTS,CHESS;RISQUE
ROBERTS,TED;RISQUE
ROBERTSON,AMANDA;RISQUE
ROBERTSON,JOE;RISQUE
